"deviceid","c_group","c_start","c_coordinates","X_c_coordinates_latitude","X_c_coordinates_longitude","X_c_coordinates_altitude","X_c_coordinates_precision","c_neighborhood","c_rainweek","c_participant_num","c_participant_gender","c_participant_female_obs","c_participant_male_obs","c_participant_female","c_participant_male","c_neighborhood_y","c_neighborhood_n","c_c_y","c_c_n","c_s_a","c_s_a_note","c_s_a_note_2","c_s_a_3","c_s_a_2","c_s_a_1","c_s_a_0","c_s_a_na","c_d_a","c_d_a_note","c_d_a_note_2","c_d_a_3","c_d_a_2","c_d_a_1","c_d_a_0","c_d_a_na","c_f_a","c_f_a_note","c_f_a_note_2","c_f_a_3","c_f_a_2","c_f_a_1","c_f_a_0","c_f_a_na","c_dw_a","c_dw_a_note","c_dw_a_note_2","c_dw_a_3","c_dw_a_2","c_dw_a_1","c_dw_a_0","c_dw_a_na","c_dw_e_wt","c_dw_e_wt_note","c_dw_e_wt_note_2","c_dw_e_wt_1","c_dw_e_wt_0","c_dw_e_wt_na","c_o_a","c_o_a_note","c_o_a_note_2","c_o_a_3","c_o_a_2","c_o_a_1","c_o_a_0","c_o_a_na","c_bw_a","c_bw_a_note","c_bw_a_note_2","c_bw_a_3","c_bw_a_2","c_bw_a_1","c_bw_a_0","c_bw_a_na","c_p_a","c_p_a_note","c_p_a_note_2","c_p_a_3","c_p_a_2","c_p_a_1","c_p_a_0","c_p_a_na","c_p_e_note","c_p_e_note_2","c_p_e_2","c_p_e_1","c_p_e_na","c_sf_a","c_sf_a_note","c_sf_a_note_2","c_sf_a_3","c_sf_a_2","c_sf_a_1","c_sf_a_0","c_sf_a_na","c_l_a","c_l_a_note","c_l_a_note_2","c_l_a_3","c_l_a_2","c_l_a_1","c_l_a_0","c_l_a_na","c_pl_a_th","c_pl_a_th_note","c_pl_a_th_note_2","c_pl_a_th_1","c_pl_a_th_0","c_pl_a_th_na","c_pl_a_tu_note","c_pl_a_tu_1","c_pl_a_tu_0","c_pl_a_tu_na","c_pl_a_tu_nl","c_pl_a_tw_note","c_pl_a_tw_note_2","c_pl_a_tw_1","c_pl_a_tw_0","c_pl_a_tw_na","c_pl_a_tw_nl","c_pl_a_tf_note","c_pl_a_tf_note_2","c_pl_a_tf_1","c_pl_a_tf_0","c_pl_a_tf_na","c_pl_a_tf_nl","c_mid","c_participant_female_obs_mid","c_participant_male_obs_mid","c_s_c","c_s_c_note","c_s_c_note_2","c_s_c_3","c_s_c_2","c_s_c_1","c_s_c_0","c_s_c_na","c_d_c","c_d_c_note","c_d_c_note_2","c_d_c_3","c_d_c_2","c_d_c_1","c_d_c_0","c_d_c_na","c_f_c","c_f_c_note","c_f_c_note_2","c_f_c_3","c_f_c_2","c_f_c_1","c_f_c_0","c_f_c_na","c_dw_c","c_dw_c_note","c_dw_c_note_2","c_dw_c_3","c_dw_c_2","c_dw_c_1","c_dw_c_0","c_dw_c_na","c_odw_c","c_o_c_note","c_o_c_note_2","c_o_c_3","c_o_c_2","c_o_c_1","c_o_c_0","c_o_c_na","c_bw_c","c_bw_c_note","c_bw_c_note_2","c_bw_c_3","c_bw_c_2","c_bw_c_1","c_bw_c_0","c_bw_c_na","c_p_c","c_p_c_note","c_p_c_note_2","c_p_c_3","c_p_c_2","c_p_c_1","c_p_c_0","c_p_c_na","c_sf_c","c_sf_c_note","c_sf_c_note_2","c_sf_c_3","c_sf_c_2","c_sf_c_1","c_sf_c_0","c_sf_c_na","c_l_c","c_l_c_note","c_l_c_note_2","c_l_c_3","c_l_c_2","c_l_c_1","c_l_c_0","c_l_c_na","c_end","c_participant_female_obs_end","c_participant_male_obs_end","c_notes","c_enum","X__version__","X_id","X_uuid","X_submission_time","X_index","c_odw_a","c_odw_a_note","c_odw_a_3","c_odw_a_2","c_odw_a_1","c_odw_a_0","c_odw_a_na","c_odw_a_other","c_odw_c_note","c_odw_c_3","c_odw_c_2","c_odw_c_1","c_odw_c_0","c_odw_c_na","c_odw_c_other","c_odw2_a","c_odw2_a_note","c_odw2_a_3","c_odw2_a_2","c_odw2_a_1","c_odw2_a_0","c_odw2_a_na","c_odw2_a_other","c_odw2_c","c_odw2_c_note","c_odw2_c_3","c_odw2_c_2","c_odw2_c_1","c_odw2_c_0","c_odw2_c_na","c_odw2_c_other","c_extra_data","dply_num","c_f_weekly","c_UID","c_date","c_participant_female.1","c_participant_male.1","neighb_UID","city"
359925060819104,"GROUP-C","2017-06-16T11:56:00.148+06","23.7677061 90.4306362 0.0 699.999",23.7677061,90.4306362,0,699.999,2,1,20,2,19,1,19,1,19,1,10,10,,,,20,0,0,0,0,,,,5,1,1,11,2,,,,17,1,2,0,0,,,,14,2,0,3,1,,,,18,2,0,,,,,,,,,,,,11,9,0,0,0,,,,17,2,0,0,1,,,17,3,0,,,,12,1,0,7,0,,,,15,1,2,2,0,,,,2,17,1,,20,0,0,0,,,15,5,0,0,,,10,9,0,0,,,,,,,10,0,0,0,0,,,,10,0,0,0,0,,,,10,0,0,0,0,,,,8,0,0,2,0,,,,,,,,,,,,6,0,4,0,0,,,,8,0,0,2,0,,,,10,0,0,0,0,,,,8,0,0,2,0,,19,1,"","9",,4516,"3bbd0c77-4449-4b6f-9fe7-04fee7b3524e","2017-06-18T07:08:52",1,,,3,1,0,14,2,,,2,0,0,8,0,,,,,,,,,,,,,,,,,,,2,1,"02_1000",2017-06-16,,,202,"Dhaka"
359925060819104,"GROUP-A","2017-06-16T12:01:00.706+06","23.770355863317786 90.42981503305226 -84.0 0.0",23.77035586,90.42981503,-84,0,2,1,13,2,12,1,12,1,13,0,6,7,,,,0,2,2,5,2,,,,3,5,0,0,2,,,,4,4,0,0,2,,,,6,1,2,0,0,,,,6,2,1,,,,,,,,,,,,4,1,0,0,4,,,,3,4,0,1,0,,,8,0,0,,,,1,0,3,2,2,,,,4,0,2,2,0,,,,3,1,4,,8,0,0,0,,,7,0,1,0,,,5,2,1,0,,,,,,,1,0,1,0,0,,,,1,1,0,0,0,,,,1,1,0,0,0,,,,1,0,0,1,0,,,,,,,,,,,,1,1,0,0,0,,,,1,1,0,0,0,,,,1,1,0,0,0,,,,1,1,0,0,0,,7,1,"","9",,4517,"be31094c-f46f-482b-baad-58b37801bea7","2017-06-18T07:28:04",2,,,3,0,2,4,0,,,0,1,1,0,0,,,,,,,,,,,,,,,,,,,2,1,"02_1001",2017-06-16,,,202,"Dhaka"
359925060425985,"GROUP-D","2017-06-14T14:22:00.475+06","23.727823330269196 90.37618821780329 1.0 0.0",23.72782333,90.37618822,1,0,8,1,20,2,10,10,10,10,20,0,11,9,,,,12,2,2,2,2,,,,17,2,0,0,1,,,,14,2,2,2,0,,,,20,0,0,0,0,,,,15,3,1,,,,,,,,,,,,12,3,3,0,0,,,,13,0,1,0,2,,,16,0,0,,,,6,2,4,4,0,,,,16,0,0,0,0,,,,0,16,0,,16,0,0,0,,,16,0,0,0,,,1,15,0,0,,,,,,,10,0,0,1,0,,,,11,0,0,0,0,,,,11,0,0,0,0,,,,11,0,0,0,0,,,,,,,,,,,,7,3,0,0,0,,,,11,0,0,0,0,,,,8,3,0,0,0,,,,11,0,0,0,0,,8,7,"","5",,4518,"5681f491-60d5-4452-a640-a8a0d79533d6","2017-06-18T09:14:44",3,,,0,0,0,19,0,,,0,0,0,11,0,,,,,,,,,,,,,,,,,,,2,1,"02_1002",2017-06-14,,,208,"Dhaka"
359925060425985,"GROUP-B","2017-06-14T14:37:00.994+06","23.725779058916107 90.37281580866807 -47.77970559801906 15.0",23.72577906,90.37281581,-47.7797056,15,8,1,20,2,10,10,10,10,19,1,11,9,,,,2,1,0,11,4,,,,3,2,3,6,4,,,,10,2,2,1,3,,,,18,0,0,0,0,,,,2,11,5,,,,,,,,,,,,6,8,2,1,0,,,,7,1,5,2,2,,,17,0,0,,,,6,1,8,1,1,,,,14,0,0,2,1,,,,13,4,0,,17,0,0,0,,,16,0,0,1,,,8,7,2,0,,,,,,,1,0,0,11,0,,,,0,0,0,11,0,,,,0,2,2,6,1,,,,11,0,0,0,0,,,,,,,,,,,,4,4,0,0,3,,,,1,2,1,7,0,,,,5,2,1,3,0,,,,0,0,9,2,0,,8,8,"","5",,4519,"92cbeeee-1cd1-44ec-9527-686a72483e8e","2017-06-18T09:14:59",4,,,0,0,0,18,0,,,0,1,2,3,5,,,,,,,,,,,,,,,,,,,2,1,"02_1003",2017-06-14,,,208,"Dhaka"
359925060106239,"GROUP-C","2017-06-14T09:30:00.148+06","23.70769858240054 90.3611628782375 0.0 0.0",23.70769858,90.36116288,0,0,8,1,16,2,12,4,12,4,16,0,14,2,,,,,,,,,,,,12,1,0,2,1,,,,13,0,0,2,1,,,,16,0,0,0,0,,,,12,4,0,,,,,,,,,,,,6,2,4,0,4,,,,7,3,2,3,1,,,15,1,0,,,,2,1,3,9,1,,,,5,0,2,8,1,,,,10,6,0,,10,0,0,6,,,9,1,0,6,,,1,9,0,6,,,,,,,,,,,,,,,6,0,1,2,5,,,,10,0,0,4,0,,,,13,1,0,0,0,,,,,,,,,,,,4,3,3,0,4,,,,4,1,1,7,1,,,,4,1,0,6,3,,,,4,1,9,0,0,,12,4,"","1",,4520,"04b97646-9f85-4c3f-94b0-a2eecbd8b2a9","2017-06-18T09:16:57",5,,,0,0,0,16,0,,,0,0,0,14,0,,,,,,,,,,,,,,,,,,,2,1,"02_1004",2017-06-14,,,208,"Dhaka"
359925061257478,"GROUP-D","2017-06-14T12:54:00.202+06","23.697635454142826 90.431165933477 -26.0 0.0",23.69763545,90.43116593,-26,0,7,1,20,2,13,7,13,7,20,0,14,6,,,,9,6,2,2,1,,,,7,1,2,4,6,,,,11,4,2,1,2,,,,2,2,0,16,0,,,,0,20,0,,,,,,,,,,,,5,5,3,0,6,,,,8,4,1,3,3,,,17,2,0,,,,7,1,2,5,4,,,,9,2,1,5,2,,,,5,14,0,,19,0,0,0,,,18,1,0,0,,,6,13,0,0,,,,,,,9,1,1,2,1,,,,8,3,1,1,1,,,,8,2,1,0,3,,,,6,3,1,4,0,,,,,,,,,,,,12,1,0,0,1,,,,9,4,1,0,0,,,,11,2,1,0,0,,,,5,1,3,4,1,,12,7,,"18",,4522,"f9709689-f36b-4875-bfc3-1f794243da9a","2017-06-18T09:19:04",6,,,16,3,1,0,0,,,5,7,1,0,1,,,,,,,,,,,,,,,,,,,2,1,"02_1005",2017-06-14,,,207,"Dhaka"
359925061278375,"GROUP-C","2017-06-14T14:15:00.501+06","23.8228727 90.3793966 0.0 1100.0",23.8228727,90.3793966,0,1100,1,1,20,2,17,3,17,3,19,1,15,5,,,,2,1,1,13,3,,,,15,3,2,0,0,,,,17,2,1,0,0,,,,18,0,0,2,0,,,,0,20,0,,,,,,,,,,,,3,14,3,0,0,,,,9,4,1,2,4,,,20,0,0,,,,3,1,9,5,2,,,,11,1,0,8,0,,,,8,12,0,,8,0,0,12,,,19,0,1,0,,,5,15,0,0,,,,,,,3,2,0,0,10,,,,15,0,0,0,0,,,,15,0,0,0,0,,,,13,0,0,2,0,,,,,,,,,,,,12,3,0,0,0,,,,15,0,0,0,0,,,,11,4,0,0,0,,,,11,2,0,2,0,,12,3,"Good respons","29",,4525,"1ceee481-03e0-465e-b093-03b8a2f9e4c9","2017-06-18T09:20:25",7,,,2,0,0,18,0,,,2,0,0,13,0,,,,,,,,,,,,,,,,,,,2,1,"02_1006",2017-06-14,,,201,"Dhaka"
359925061276692,"GROUP-C","2017-06-14T12:45:00.236+06","23.698882595986294 90.43025868575725 -10.0 0.0",23.6988826,90.43025869,-10,0,7,1,16,2,14,2,14,2,16,0,14,2,,,,5,2,4,5,0,,,,10,1,1,3,1,,,,10,0,3,2,1,,,,14,0,0,1,0,,,,7,8,0,,,,,,,,,,,,3,12,0,0,0,,,,9,0,4,0,2,,,14,2,0,,,,5,6,5,0,0,,,,14,0,0,2,0,,,,2,14,0,,15,0,0,0,,,13,2,0,0,,,13,2,0,0,,,,,,,10,4,0,0,0,,,,5,8,0,0,0,,,,10,0,2,2,0,,,,14,0,0,0,0,,,,,,,,,,,,13,0,0,0,0,,,,4,0,2,4,3,,,,11,1,1,0,0,,,,11,0,0,2,0,,14,2,"","21",,4527,"ab008857-2f51-4ada-b2c9-f8e0f614ad41","2017-06-18T09:24:11",8,,,1,0,0,14,0,,,0,0,0,14,0,,,,,,,,,,,,,,,,,,,2,1,"02_1007",2017-06-14,,,207,"Dhaka"
359925061190497,"GROUP-A","2017-06-14T11:52:00.119+06","23.768970219096545 90.43031763542122 -79.0 0.0",23.76897022,90.43031764,-79,0,2,1,18,2,17,1,17,1,18,0,10,8,,,,12,0,6,0,0,,,,18,0,0,0,0,,,,18,0,0,0,0,,,,18,0,0,0,0,,,,6,10,2,,,,,,,,,,,,1,15,2,0,0,,,,12,0,2,4,0,,,17,1,0,,,,8,0,5,4,1,,,,17,1,0,0,0,,,,1,17,0,,18,0,0,0,,,18,0,0,0,,,18,0,0,0,,,,,,,11,0,0,0,0,,,,11,0,0,0,0,,,,11,0,0,0,0,,,,11,0,0,0,0,,,,,,,,,,,,11,0,0,0,0,,,,9,0,2,0,0,,,,2,5,4,0,0,,,,11,0,0,0,0,,17,1,"","13",,4531,"3c751cf6-755b-4d8e-8d8d-15ede73f8868","2017-06-18T09:24:52",9,,,2,11,1,3,1,,,0,0,1,10,0,,,,,,,,,,,,,,,,,,,2,1,"02_1008",2017-06-14,,,202,"Dhaka"
359925061283656,"GROUP-A","2017-06-14T11:54:00.019+06","23.779684560767826 90.3409758813692 -79.0 0.0",23.77968456,90.34097588,-79,0,3,1,16,2,10,6,10,6,16,0,3,13,,,,2,0,0,11,3,,,,6,0,1,4,5,,,,12,0,0,0,4,,,,1,1,0,11,3,,,,1,13,2,,,,,,,,,,,,3,5,3,0,5,,,,1,0,1,10,4,,,14,0,2,,,,11,0,0,2,3,,,,6,0,4,1,5,,,,0,15,1,,0,6,2,8,,,1,13,1,1,,,0,0,2,14,,,,,,,0,0,0,3,0,,,,2,0,1,0,0,,,,3,0,0,0,0,,,,0,0,0,3,0,,,,,,,,,,,,0,3,0,0,0,,,,0,0,1,0,2,,,,1,0,0,0,2,,,,2,1,0,0,0,,10,6,,"37",,4536,"67af0a8b-0f00-4f08-8e49-a02a24431076","2017-06-18T09:27:20",10,,,16,0,0,0,0,,,3,0,0,0,0,,,,,,,,,,,,,,,,,,,2,1,"02_1009",2017-06-14,,,203,"Dhaka"
