col_start_dt,col_end_dt,subscriberid,simserial,deviceid,col_ward,col_sample_type,col_sw_type,col_sw_trigger,col_sw_trigger_nr,col_fb_loc,col_id,col_id_val,col_ms_psid,col_ms_in,col_start,col_location,_col_location_latitude,_col_location_longitude,_col_location_altitude,_col_location_precision,col_weather,col_rainyest,col_rainweek,col_rainmon,col_sw,col_sw_flow,col_sw_lining,col_sw_lining_other,col_ms,col_ms_water_level,col_ms_water_flow,col_ms_size,col_ms_lining,col_ms_lining_oth,col_surfw,col_surfw_flow,col_dw,col_dw_interm,col_dw_type,col_dw_type_other,col_close,col_notes,col_enum,col_photo,__version__,_id,_uuid,_submission_time,_index
2019-05-01T12:27:57.826+05:30,2019-05-01T15:24:46.973+05:30,NA,NA,352155090281144,58,11,NA,NA,NA,NA,PL1001,PL1001,NA,NA,2019-05-01T12:29:00.000+05:30,22.5538176 88.3973782 -45.099998474121094 5.0,22.5538176,88.3973782,-45.099998474121,5,1,0,0,1,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Suvankar Mandal,1,vrMZ4a5AmacCeKoBvXPFEu,2746,3bb350e2-c45c-4d17-b451-4a88bc0d0216,2019-05-01T09:55:29,1
2019-05-02T13:30:22.893+05:30,2019-05-02T16:26:39.622+05:30,NA,NA,352155090281144,57,12,NA,NA,NA,NA,MO1001,MO1001,3,2019-05-02T12:10:00.000+05:30,NA,22.5563502 88.3920594 -69.9000015258789 5.0,22.5563502,88.3920594,-69.9000015258789,5,1,0,0,1,NA,NA,NA,NA,NA,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biplab Jash,0,vrMZ4a5AmacCeKoBvXPFEu,2749,b1c8a2c3-49c5-4736-8c98-7b829e2bdc28,2019-05-02T11:00:15,2
2019-05-02T13:43:34.932+05:30,2019-05-02T16:04:32.703+05:30,NA,NA,352155090281144,57,12,NA,NA,NA,NA,MO1002,MO1002,4,2019-05-02T12:37:00.000+05:30,NA,22.5629355 88.3777423 -4.300000190734863 5.0,22.5629355,88.3777423,-4.30000019073486,5,1,0,0,1,NA,NA,NA,NA,NA,2,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,Latrine and a dog beside the place,Debabrata Maity,0,vrMZ4a5AmacCeKoBvXPFEu,2750,d070119c-4ac9-4cd9-b1ba-753e06fd7223,2019-05-02T11:00:17,3
2019-05-07T10:45:26.035+05:30,2019-05-13T15:19:04.860+05:30,NA,NA,352155090281144,57,12,NA,NA,NA,NA,MO 1003,MO 1003,1,2019-05-07T10:47:00.000+05:30,NA,22.5578924 88.4108726 -44.900001525878906 5.0,22.5578924,88.4108726,-44.9000015258789,5,1,0,1,NA,NA,NA,NA,NA,NA,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biplab Jash,0,vrMZ4a5AmacCeKoBvXPFEu,2768,b1f8b5ca-403f-4090-a3ea-1f150ca38e9d,2019-05-13T09:49:40,4
2019-05-07T11:05:03.234+05:30,2019-05-13T15:19:15.720+05:30,NA,NA,352155090281144,57,12,NA,NA,NA,NA,MO1004,MO1004,2,2019-05-07T11:05:00.000+05:30,NA,22.554334 88.3966835 -38.400001525878906 5.0,22.554334,88.3966835,-38.4000015258789,5,1,0,1,NA,NA,NA,NA,NA,NA,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biplab Jash,0,vrMZ4a5AmacCeKoBvXPFEu,2769,30026bf2-d9ed-4984-be23-9a7e67070a07,2019-05-13T09:49:43,5
2019-05-09T13:04:44.617+05:30,2019-05-13T15:19:23.438+05:30,NA,NA,352155090281144,57,12,NA,NA,NA,NA,MO1005,MO1005,3,2019-05-09T13:05:00.000+05:30,NA,22.5563651 88.3922004 -55.29999923706055 4.5,22.5563651,88.3922004,-55.2999992370605,4.5,1,0,1,NA,NA,NA,NA,NA,NA,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,Dog,Biplab Jash,0,vrMZ4a5AmacCeKoBvXPFEu,2770,8b5ab91f-fa00-41ac-85f8-256d6de3fe43,2019-05-13T09:49:45,6
2019-05-09T13:24:59.508+05:30,2019-05-13T15:19:30.862+05:30,NA,NA,352155090281144,57,12,NA,NA,NA,NA,MO1006,MO1006,4,2019-05-09T13:25:00.000+05:30,NA,22.5635552 88.3771778 -31.600000381469727 5.0,22.5635552,88.3771778,-31.6000003814697,5,1,0,1,NA,NA,NA,NA,NA,NA,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,latrine and Toilet,Biplab Jash,0,vrMZ4a5AmacCeKoBvXPFEu,2771,bbc7ca23-a490-4ea7-9327-9c67b8f2e4b3,2019-05-13T09:49:47,7
2019-05-06T11:30:49.068+05:30,2019-05-07T15:03:48.685+05:30,NA,NA,352155090281144,58,11,NA,NA,NA,NA,PL2001,PL2001,NA,NA,2019-05-06T11:31:00.000+05:30,22.550148 88.3965586 -53.099998474121094 5.0,22.550148,88.3965586,-53.099998474121,5,1,0,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somnath Sarkar,1,vrMZ4a5AmacCeKoBvXPFEu,2780,7eedded0-3e31-4605-8f64-27c4b44a4339,2019-05-13T10:10:53,8
2019-05-08T10:32:55.024+05:30,2019-05-13T15:40:38.045+05:30,NA,NA,352155090281144,58,11,NA,NA,NA,NA,PL2002,PL2002,NA,NA,2019-05-08T10:33:00.000+05:30,22.5491061 88.3976895 -23.299999237060547 5.0,22.5491061,88.3976895,-23.2999992370605,5,1,0,1,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Somnath sarkar,1,vrMZ4a5AmacCeKoBvXPFEu,2781,18be190f-58e3-43d1-87c1-ca28178de989,2019-05-13T10:10:54,9
2019-05-13T12:00:28.235+05:30,2019-05-13T15:53:02.505+05:30,NA,NA,352155090281144,59,11,NA,NA,NA,NA,PLc1001,PLc1001,NA,NA,2019-05-13T12:01:00.000+05:30,22.540996 88.3742637 -44.400001525878906 5.0,22.540996,88.3742637,-44.4000015258789,5,1,0,0,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Biplab Jash,1,vrMZ4a5AmacCeKoBvXPFEu,2791,6c630428-e0bf-482b-89e1-76c603a97f4d,2019-05-13T10:23:08,10
